survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes
2018-05-30,2024,62.55,12
2018-05-30,2025,62.1,12
2018-06-01,2019,57.0,19
2018-06-01,2020,59.2,17
2018-06-01,2021,61.08,15
2018-06-01,2022,62.13,15
2018-06-01,2023,63.3,13
2018-06-01,2024,62.55,12
2018-06-01,2025,62.1,12
2018-06-04,2019,57.0,19
2018-06-04,2020,59.2,17
2018-06-04,2021,61.08,15
2018-06-04,2022,62.13,15
2018-06-04,2023,63.3,13
2018-06-04,2024,62.55,12
2018-06-04,2025,62.1,12
2018-06-05,2019,57.0,19
2018-06-05,2020,59.5,17
2018-06-05,2021,61.3,15
2018-06-05,2022,62.5,15
2018-06-05,2023,63.4,13
2018-06-05,2024,62.55,12
2018-06-05,2025,62.2,12
2018-06-06,2019,57.0,19
2018-06-06,2020,59.5,17
2018-06-06,2021,61.3,15
2018-06-06,2022,62.5,15
2018-06-06,2023,63.4,13
2018-06-06,2024,62.55,12
2018-06-06,2025,62.2,12
2018-06-07,2019,57.0,19
2018-06-07,2020,59.5,17
2018-06-07,2021,61.3,15
2018-06-07,2022,62.5,15
2018-06-07,2023,63.4,13
2018-06-07,2024,62.95,12
2018-06-07,2025,62.3,12
2018-06-08,2019,57.05,20
2018-06-08,2020,59.35,18
2018-06-08,2021,61.3,15
2018-06-08,2022,62.5,15
2018-06-08,2023,63.4,13
2018-06-08,2024,62.95,12
2018-06-08,2025,62.3,12
2018-06-11,2019,57.1,19
2018-06-11,2020,59.5,17
2018-06-11,2021,61.19,14
2018-06-11,2022,62.32,14
2018-06-11,2023,63.35,12
2018-06-11,2024,63.3,11
2018-06-11,2025,63.3,11
2018-06-12,2019,57.1,19
2018-06-12,2020,59.6,17
2018-06-12,2021,61.19,14
2018-06-12,2022,62.47,14
2018-06-12,2023,63.65,12
2018-06-12,2024,63.3,11
2018-06-12,2025,64.0,11
2018-06-13,2019,57.15,20
2018-06-13,2020,59.6,18
2018-06-13,2021,61.3,15
2018-06-13,2022,62.8,15
2018-06-13,2023,63.6,13
2018-06-13,2024,62.95,12
2018-06-13,2025,62.65,12
2018-06-14,2019,57.15,20
2018-06-14,2020,59.6,18
2018-06-14,2021,61.3,15
2018-06-14,2022,62.8,15
2018-06-14,2023,63.6,13
2018-06-14,2024,62.95,12
2018-06-14,2025,62.65,12
2018-06-15,2019,57.15,20
2018-06-15,2020,59.6,18
2018-06-15,2021,61.3,15
2018-06-15,2022,62.8,15
2018-06-15,2023,63.6,13
2018-06-15,2024,62.95,12
2018-06-15,2025,62.65,12
2018-06-18,2019,57.6,18
2018-06-18,2020,59.6,18
2018-06-18,2021,61.3,15
2018-06-18,2022,62.8,15
2018-06-18,2023,63.6,13
2018-06-18,2024,62.95,12
2018-06-18,2025,62.65,12
2018-06-19,2019,57.6,18
2018-06-19,2020,59.6,18
2018-06-19,2021,61.3,15
2018-06-19,2022,62.8,15
2018-06-19,2023,63.6,13
2018-06-19,2024,62.95,12
2018-06-19,2025,62.65,12
2018-06-20,2019,57.6,18
2018-06-20,2020,59.6,18
2018-06-20,2021,61.3,15
2018-06-20,2022,62.8,15
2018-06-20,2023,63.6,13
2018-06-20,2024,62.95,12
2018-06-20,2025,62.65,12
2018-06-21,2019,58.0,17
2018-06-21,2020,59.6,18
2018-06-21,2021,61.3,15
2018-06-21,2022,62.8,15
2018-06-21,2023,63.6,13
2018-06-21,2024,62.95,12
2018-06-21,2025,62.65,12
2018-06-22,2019,58.0,17
2018-06-22,2020,59.6,18
2018-06-22,2021,61.3,15
2018-06-22,2022,62.8,15
2018-06-22,2023,63.6,13
2018-06-22,2024,62.95,12
2018-06-22,2025,62.65,12
2018-06-25,2019,58.0,17
2018-06-25,2020,59.6,18
2018-06-25,2021,61.3,15
2018-06-25,2022,62.8,15
2018-06-25,2023,63.6,13
2018-06-25,2024,62.95,12
2018-06-25,2025,62.65,12
2018-06-26,2019,58.0,17
2018-06-26,2020,59.6,18
2018-06-26,2021,61.3,15
2018-06-26,2022,62.8,15
2018-06-26,2023,63.6,13
2018-06-26,2024,62.95,12
2018-06-26,2025,62.65,12
2018-06-27,2019,58.0,17
2018-06-27,2020,59.6,18
2018-06-27,2021,61.3,15
2018-06-27,2022,62.8,15
2018-06-27,2023,63.6,13
2018-06-27,2024,62.95,12
2018-06-27,2025,62.65,12
2018-06-28,2019,58.0,17
2018-06-28,2020,59.6,18
2018-06-28,2021,61.3,15
2018-06-28,2022,62.8,15
2018-06-28,2023,63.6,13
2018-06-28,2024,62.95,12
2018-06-28,2025,62.65,12
2018-06-29,2019,58.0,18
2018-06-29,2020,59.6,19
2018-06-29,2021,61.75,16
2018-06-29,2022,63.15,16
2018-06-29,2023,63.8,14
2018-06-29,2024,63.3,13
2018-06-29,2025,64.0,13
2018-07-02,2019,58.0,18
2018-07-02,2020,59.6,19
2018-07-02,2021,61.75,16
2018-07-02,2022,63.15,16
2018-07-02,2023,63.8,14
2018-07-02,2024,63.3,13
2018-07-02,2025,64.0,13
2018-07-03,2019,58.0,18
2018-07-03,2020,59.6,19
2018-07-03,2021,61.75,16
2018-07-03,2022,63.15,16
2018-07-03,2023,63.8,14
2018-07-03,2024,63.3,13
2018-07-03,2025,64.0,13
2018-07-04,2019,58.0,19
2018-07-04,2020,59.6,20
2018-07-04,2021,61.3,17
2018-07-04,2022,62.8,17
2018-07-04,2023,63.6,15
2018-07-04,2024,62.95,14
2018-07-04,2025,62.65,14
2018-07-05,2019,58.0,19
2018-07-05,2020,59.6,20
2018-07-05,2021,61.3,17
2018-07-05,2022,62.8,17
2018-07-05,2023,63.6,15
2018-07-05,2024,62.95,14
2018-07-05,2025,62.65,14
2018-07-06,2019,58.0,19
2018-07-06,2020,59.6,20
2018-07-06,2021,61.3,17
2018-07-06,2022,62.8,17
2018-07-06,2023,63.6,15
2018-07-06,2024,62.95,14
2018-07-06,2025,62.65,14
2018-07-09,2019,58.0,17
2018-07-09,2020,60.3,18
2018-07-09,2021,62.2,15
2018-07-09,2022,63.5,15
2018-07-09,2023,64.0,13
2018-07-09,2024,63.4,12
2018-07-09,2025,62.65,12
2018-07-10,2019,58.0,18
2018-07-10,2020,59.6,19
2018-07-10,2021,62.2,15
2018-07-10,2022,63.5,15
2018-07-10,2023,64.0,13
2018-07-10,2024,63.4,12
2018-07-10,2025,62.65,12
2018-07-11,2019,58.0,19
2018-07-11,2020,59.6,20
2018-07-11,2021,61.75,16
2018-07-11,2022,63.15,16
