survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes,dlsp_sgs_pct_pib,dlsp_sgs_yoy_pp,dlsp_sgs_data_obs,dlsp_divulgacao_aprox
2018-02-19,2024,63.7,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-19,2025,63.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-20,2019,57.8,24,54.7,,2019-12-01,2020-05-01
2018-02-20,2020,59.5,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-20,2021,61.2,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-20,2022,62.35,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-20,2023,63.95,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-20,2024,63.7,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-20,2025,63.4,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-21,2019,57.8,25,54.7,,2019-12-01,2020-05-01
2018-02-21,2020,59.45,22,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-21,2021,61.2,19,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-21,2022,62.35,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-21,2023,63.95,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-21,2024,63.7,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-21,2025,63.4,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-22,2019,57.7,26,54.7,,2019-12-01,2020-05-01
2018-02-22,2020,59.4,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-22,2021,61.1,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-22,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-22,2023,63.3,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-22,2024,63.65,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-22,2025,63.25,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-23,2019,57.7,26,54.7,,2019-12-01,2020-05-01
2018-02-23,2020,59.4,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-23,2021,61.1,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-23,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-23,2023,63.3,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-23,2024,63.65,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-23,2025,63.25,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-26,2019,57.8,25,54.7,,2019-12-01,2020-05-01
2018-02-26,2020,59.4,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-26,2021,61.1,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-26,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-26,2023,63.3,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-26,2024,63.35,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-26,2025,62.75,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-27,2019,57.8,25,54.7,,2019-12-01,2020-05-01
2018-02-27,2020,59.4,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-27,2021,61.1,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-27,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-27,2023,63.3,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-27,2024,63.35,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-27,2025,62.75,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-02-28,2019,57.8,25,54.7,,2019-12-01,2020-05-01
2018-02-28,2020,59.4,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-02-28,2021,61.1,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-02-28,2022,62.2,17,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-02-28,2023,63.3,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-02-28,2024,63.35,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-02-28,2025,62.75,14,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-01,2019,57.8,25,54.7,,2019-12-01,2020-05-01
2018-03-01,2020,59.4,23,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-01,2021,61.1,20,55.11,-6.259999999999998,2021-12-01,2022-05-01
