survey_date;selic_year_ref;selic_focus_pct;reuniao;selic_focus_nresp;ref_yyyymm;ipca_focus_med_mensal_pct
2021-06-23;2021;6,5;R8/2021;63;202106;6,5
2021-06-24;2021;6,5;R8/2021;58;202106;6,5
2021-06-25;2021;6,75;R8/2021;68;202106;6,75
2021-06-28;2021;6,75;R8/2021;69;202106;6,75
2021-06-29;2021;6,75;R8/2021;64;202106;6,75
2021-06-30;2021;6,75;R8/2021;65;202106;6,75
2021-07-01;2021;6,625;R8/2021;66;202107;6,625
2021-07-02;2021;6,5;R8/2021;41;202107;6,5
2021-07-05;2021;6,5;R8/2021;40;202107;6,5
2021-07-06;2021;6,5;R8/2021;45;202107;6,5
2021-07-07;2021;6,5;R8/2021;42;202107;6,5
2021-07-08;2021;6,75;R8/2021;52;202107;6,75
2021-07-09;2021;6,75;R8/2021;44;202107;6,75
2021-07-12;2021;6,75;R8/2021;44;202107;6,75
2021-07-13;2021;7,0;R8/2021;42;202107;7,0
2021-07-14;2021;7,0;R8/2021;42;202107;7,0
2021-07-15;2021;7,0;R8/2021;27;202107;7,0
2021-07-16;2021;6,75;R8/2021;45;202107;6,75
2021-07-19;2021;6,75;R8/2021;43;202107;6,75
2021-07-20;2021;6,75;R8/2021;42;202107;6,75
2021-07-21;2021;6,75;R8/2021;45;202107;6,75
2021-07-22;2021;6,75;R8/2021;48;202107;6,75
2021-07-23;2021;7,0;R8/2021;72;202107;7,0
2021-07-26;2021;7,0;R8/2021;76;202107;7,0
2021-07-27;2021;7,0;R8/2021;74;202107;7,0
2021-07-28;2021;7,0;R8/2021;73;202107;7,0
2021-07-29;2021;7,0;R8/2021;78;202107;7,0
2021-07-30;2021;7,0;R8/2021;79;202107;7,0
2021-08-02;2021;7,0;R8/2021;78;202108;7,0
2021-08-03;2021;7,125;R8/2021;76;202108;7,125
2021-08-04;2021;7,25;R8/2021;74;202108;7,25
2021-08-05;2021;7,375;R8/2021;72;202108;7,375
2021-08-06;2021;7,5;R8/2021;45;202108;7,5
2021-08-09;2021;7,5;R8/2021;47;202108;7,5
2021-08-10;2021;7,5;R8/2021;57;202108;7,5
2021-08-11;2021;7,5;R8/2021;63;202108;7,5
2021-08-12;2021;7,5;R8/2021;65;202108;7,5
2021-08-13;2021;7,5;R8/2021;73;202108;7,5
2021-08-16;2021;7,5;R8/2021;70;202108;7,5
2021-08-17;2021;7,5;R8/2021;63;202108;7,5
2021-08-18;2021;7,5;R8/2021;62;202108;7,5
2021-08-19;2021;7,5;R8/2021;56;202108;7,5
2021-08-20;2021;7,75;R8/2021;44;202108;7,75
2021-08-23;2021;7,75;R8/2021;51;202108;7,75
2021-08-24;2021;7,75;R8/2021;51;202108;7,75
2021-08-25;2021;7,75;R8/2021;49;202108;7,75
2021-08-26;2021;7,75;R8/2021;50;202108;7,75
2021-08-27;2021;7,75;R8/2021;44;202108;7,75
2021-08-30;2021;7,75;R8/2021;41;202108;7,75
2021-08-31;2021;7,5;R8/2021;39;202108;7,5
2021-09-01;2021;7,5;R8/2021;39;202109;7,5
2021-09-02;2021;7,75;R8/2021;41;202109;7,75
2021-09-03;2021;8,0;R8/2021;47;202109;8,0
