survey_date;ipca_focus_ano_pct;ipca_year_ref;ipca_focus_ano_nresp;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2022-01-26;5,1327;2022;90,0;;;3,5;2,0;5,0;1,6326999999999998;1,6326999999999998
2022-01-27;5,3006;2022;100,0;;;3,5;2,0;5,0;1,8006000000000002;1,8006000000000002
2022-01-28;5,4493;2022;109,0;;;3,5;2,0;5,0;1,9493;1,9493
2022-01-31;5,499;2022;108,0;;;3,5;2,0;5,0;1,9989999999999997;1,9989999999999997
2022-02-01;5,5;2022;110,0;;;3,5;2,0;5,0;2,0;2,0
2022-02-02;5,5;2022;110,0;;;3,5;2,0;5,0;2,0;2,0
2022-02-03;5,5;2022;90,0;;;3,5;2,0;5,0;2,0;2,0
2022-02-04;5,499;2022;46,0;;;3,5;2,0;5,0;1,9989999999999997;1,9989999999999997
2022-02-07;5,3944;2022;45,0;;;3,5;2,0;5,0;1,8944;1,8944
2022-02-08;5,4327;2022;50,0;;;3,5;2,0;5,0;1,9326999999999996;1,9326999999999996
2022-02-09;5,5;2022;57,0;;;3,5;2,0;5,0;2,0;2,0
2022-02-10;5,499;2022;57,0;;;3,5;2,0;5,0;1,9989999999999997;1,9989999999999997
2022-02-11;5,531;2022;72,0;;;3,5;2,0;5,0;2,0309999999999997;2,0309999999999997
2022-02-14;5,5073;2022;78,0;;;3,5;2,0;5,0;2,0073;2,0073
2022-02-15;5,5;2022;77,0;;;3,5;2,0;5,0;2,0;2,0
2022-02-16;5,5073;2022;72,0;;;3,5;2,0;5,0;2,0073;2,0073
2022-02-17;5,5178;2022;68,0;;;3,5;2,0;5,0;2,0178000000000003;2,0178000000000003
2022-02-18;5,5899;2022;90,0;;;3,5;2,0;5,0;2,0899;2,0899
2022-02-21;5,6063;2022;93,0;;;3,5;2,0;5,0;2,1063;2,1063
2022-02-22;5,6104;2022;98,0;;;3,5;2,0;5,0;2,1104000000000003;2,1104000000000003
2022-02-23;5,6104;2022;98,0;;;3,5;2,0;5,0;2,1104000000000003;2,1104000000000003
2022-02-24;5,6069;2022;96,0;;;3,5;2,0;5,0;2,1069000000000004;2,1069000000000004
2022-02-25;5,6069;2022;58,0;;;3,5;2,0;5,0;2,1069000000000004;2,1069000000000004
2022-03-02;5,6238;2022;54,0;;;3,5;2,0;5,0;2,1238;2,1238
2022-03-03;5,6913;2022;49,0;;;3,5;2,0;5,0;2,1913;2,1913
2022-03-04;5,7826;2022;55,0;;;3,5;2,0;5,0;2,2826000000000004;2,2826000000000004
2022-03-07;5,76;2022;57,0;;;3,5;2,0;5,0;2,26;2,26
2022-03-08;5,798;2022;48,0;;;3,5;2,0;5,0;2,298;2,298
2022-03-09;5,8915;2022;56,0;;;3,5;2,0;5,0;2,3914999999999997;2,3914999999999997
2022-03-10;5,9749;2022;58,0;;;3,5;2,0;5,0;2,4749;2,4749
2022-03-11;6,5445;2022;111,0;;;3,5;2,0;5,0;3,0445;3,0445
2022-03-14;6,622;2022;118,0;;;3,5;2,0;5,0;3,122;3,122
2022-03-15;6,6431;2022;116,0;;;3,5;2,0;5,0;3,1430999999999996;3,1430999999999996
2022-03-16;6,6934;2022;111,0;;;3,5;2,0;5,0;3,1933999999999996;3,1933999999999996
2022-03-17;6,6934;2022;109,0;;;3,5;2,0;5,0;3,1933999999999996;3,1933999999999996
2022-03-18;6,6963;2022;88,0;;;3,5;2,0;5,0;3,1963;3,1963
2022-03-21;6,7023;2022;86,0;;;3,5;2,0;5,0;3,2023;3,2023
2022-03-22;6,7898;2022;88,0;;;3,5;2,0;5,0;3,2897999999999996;3,2897999999999996
2022-03-23;6,8166;2022;91,0;;;3,5;2,0;5,0;3,3166;3,3166
2022-03-24;6,861;2022;92,0;;;3,5;2,0;5,0;3,3609999999999998;3,3609999999999998
2022-03-25;7,0965;2022;75,0;;;3,5;2,0;5,0;3,5965;3,5965
2022-03-28;7,0965;2022;79,0;;;3,5;2,0;5,0;3,5965;3,5965
2022-03-29;7,1043;2022;75,0;;;3,5;2,0;5,0;3,6043000000000003;3,6043000000000003
2022-03-30;7,0813;2022;77,0;;;3,5;2,0;5,0;3,5812999999999997;3,5812999999999997
2022-03-31;7,1043;2022;71,0;;;3,5;2,0;5,0;3,6043000000000003;3,6043000000000003
2022-04-01;7,0473;2022;46,0;;;3,5;2,0;5,0;3,5473;3,5473
2022-04-04;7,1533;2022;45,0;;;3,5;2,0;5,0;3,6532999999999998;3,6532999999999998
2022-04-05;7,1746;2022;48,0;;;3,5;2,0;5,0;3,6746;3,6746
2022-04-06;7,1855;2022;45,0;;;3,5;2,0;5,0;3,6855;3,6855
2022-04-07;7,1181;2022;45,0;;;3,5;2,0;5,0;3,6181;3,6181
2022-04-08;7,5089;2022;49,0;;;3,5;2,0;5,0;4,0089;4,0089
2022-04-11;7,5159;2022;53,0;;;3,5;2,0;5,0;4,0159;4,0159
2022-04-12;7,5124;2022;54,0;;;3,5;2,0;5,0;4,0124;4,0124
2022-04-13;7,5124;2022;52,0;;;3,5;2,0;5,0;4,0124;4,0124
2022-04-14;7,5089;2022;57,0;;;3,5;2,0;5,0;4,0089;4,0089
2022-04-18;7,5403;2022;41,0;;;3,5;2,0;5,0;4,0403;4,0403
2022-04-19;7,605;2022;43,0;;;3,5;2,0;5,0;4,105;4,105
2022-04-20;7,6487;2022;56,0;;;3,5;2,0;5,0;4,1487;4,1487
2022-04-22;7,717;2022;96,0;;;3,5;2,0;5,0;4,217;4,217
2022-04-25;7,69;2022;102,0;;;3,5;2,0;5,0;4,19;4,19
2022-04-26;7,7119;2022;107,0;;;3,5;2,0;5,0;4,2119;4,2119
2022-04-27;7,7767;2022;107,0;;;3,5;2,0;5,0;4,2767;4,2767
2022-04-28;7,7751;2022;95,0;;;3,5;2,0;5,0;4,2751;4,2751
2022-04-29;7,9482;2022;102,0;;;3,5;2,0;5,0;4,4482;4,4482
2022-05-02;7,99;2022;98,0;;;3,5;2,0;5,0;4,49;4,49
2022-05-03;7,99;2022;96,0;;;3,5;2,0;5,0;4,49;4,49
2022-05-04;8,0066;2022;90,0;;;3,5;2,0;5,0;4,506600000000001;4,506600000000001
2022-05-05;8,0716;2022;86,0;;;3,5;2,0;5,0;4,5716;4,5716
2022-05-06;8,2;2022;49,0;;;3,5;2,0;5,0;4,699999999999999;4,699999999999999
2022-05-09;8,2287;2022;48,0;;;3,5;2,0;5,0;4,7287;4,7287
2022-05-10;8,1891;2022;48,0;;;3,5;2,0;5,0;4,6891;4,6891
2022-05-11;8,3279;2022;54,0;;;3,5;2,0;5,0;4,8279;4,8279
2022-05-12;8,3884;2022;59,0;;;3,5;2,0;5,0;4,888400000000001;4,888400000000001
2022-05-13;8,5828;2022;67,0;;;3,5;2,0;5,0;5,082800000000001;5,082800000000001
2022-05-16;8,6149;2022;66,0;;;3,5;2,0;5,0;5,1149000000000004;5,1149000000000004
2022-05-17;8,68;2022;65,0;;;3,5;2,0;5,0;5,18;5,18
2022-05-18;8,6876;2022;61,0;;;3,5;2,0;5,0;5,1876;5,1876
2022-05-19;8,6527;2022;58,0;;;3,5;2,0;5,0;5,152699999999999;5,152699999999999
2022-05-20;8,7995;2022;87,0;;;3,5;2,0;5,0;5,2995;5,2995
2022-05-23;8,7995;2022;93,0;;;3,5;2,0;5,0;5,2995;5,2995
2022-05-24;8,7883;2022;97,0;;;3,5;2,0;5,0;5,2883;5,2883
2022-05-25;8,7953;2022;102,0;;;3,5;2,0;5,0;5,295299999999999;5,295299999999999
2022-05-26;8,7998;2022;102,0;;;3,5;2,0;5,0;5,299799999999999;5,299799999999999
2022-05-27;8,7553;2022;50,0;;;3,5;2,0;5,0;5,2553;5,2553
2022-05-30;8,8427;2022;47,0;;;3,5;2,0;5,0;5,342700000000001;5,342700000000001
2022-05-31;8,9168;2022;42,0;;;3,5;2,0;5,0;5,4168;5,4168
2022-06-01;8,9;2022;39,0;;;3,5;2,0;5,0;5,4;5,4
2022-06-02;8,7496;2022;36,0;;;3,5;2,0;5,0;5,249599999999999;5,249599999999999
2022-06-03;9,0;2022;39,0;;;3,5;2,0;5,0;5,5;5,5
2022-06-06;8,9723;2022;45,0;;;3,5;2,0;5,0;5,472300000000001;5,472300000000001
2022-06-07;8,9831;2022;44,0;;;3,5;2,0;5,0;5,4831;5,4831
2022-06-08;8,967;2022;44,0;;;3,5;2,0;5,0;5,4670000000000005;5,4670000000000005
2022-06-09;8,853;2022;51,0;;;3,5;2,0;5,0;5,353;5,353
2022-06-10;8,2634;2022;91,0;;;3,5;2,0;5,0;4,763400000000001;4,763400000000001
2022-06-13;8,2377;2022;91,0;;;3,5;2,0;5,0;4,7377;4,7377
2022-06-14;8,2049;2022;90,0;;;3,5;2,0;5,0;4,7049;4,7049
2022-06-15;8,2127;2022;92,0;;;3,5;2,0;5,0;4,7127;4,7127
2022-06-17;8,0623;2022;91,0;;;3,5;2,0;5,0;4,5623000000000005;4,5623000000000005
2022-06-20;7,8824;2022;75,0;;;3,5;2,0;5,0;4,3824;4,3824
2022-06-21;7,8947;2022;76,0;;;3,5;2,0;5,0;4,3947;4,3947
2022-06-22;7,9069;2022;79,0;;;3,5;2,0;5,0;4,4069;4,4069
2022-06-23;7,9069;2022;77,0;;;3,5;2,0;5,0;4,4069;4,4069
2022-06-24;8,0;2022;45,0;;;3,5;2,0;5,0;4,5;4,5
2022-06-27;8,0;2022;49,0;;;3,5;2,0;5,0;4,5;4,5
2022-06-28;7,9718;2022;48,0;;;3,5;2,0;5,0;4,4718;4,4718
2022-06-29;7,9435;2022;51,0;;;3,5;2,0;5,0;4,4435;4,4435
2022-06-30;8,0025;2022;50,0;;;3,5;2,0;5,0;4,5024999999999995;4,5024999999999995
2022-07-01;7,6774;2022;44,0;;;3,5;2,0;5,0;4,1774;4,1774
2022-07-04;7,6359;2022;39,0;;;3,5;2,0;5,0;4,1359;4,1359
2022-07-05;7,5578;2022;40,0;;;3,5;2,0;5,0;4,0578;4,0578
2022-07-06;7,5269;2022;46,0;;;3,5;2,0;5,0;4,0269;4,0269
2022-07-07;7,5397;2022;53,0;;;3,5;2,0;5,0;4,0397;4,0397
2022-07-08;7,4922;2022;64,0;;;3,5;2,0;5,0;3,9922000000000004;3,9922000000000004
2022-07-11;7,4684;2022;74,0;;;3,5;2,0;5,0;3,9684;3,9684
2022-07-12;7,4777;2022;78,0;;;3,5;2,0;5,0;3,9776999999999996;3,9776999999999996
2022-07-13;7,469;2022;71,0;;;3,5;2,0;5,0;3,9690000000000003;3,9690000000000003
2022-07-14;7,4684;2022;66,0;;;3,5;2,0;5,0;3,9684;3,9684
2022-07-15;7,5;2022;43,0;;;3,5;2,0;5,0;4,0;4,0
2022-07-18;7,5155;2022;38,0;;;3,5;2,0;5,0;4,0155;4,0155
2022-07-19;7,4077;2022;37,0;;;3,5;2,0;5,0;3,9077;3,9077
2022-07-20;7,3237;2022;42,0;;;3,5;2,0;5,0;3,8236999999999997;3,8236999999999997
2022-07-21;7,2967;2022;43,0;;;3,5;2,0;5,0;3,7967000000000004;3,7967000000000004
2022-07-22;7,1777;2022;99,0;;;3,5;2,0;5,0;3,6776999999999997;3,6776999999999997
2022-07-25;7,2148;2022;110,0;;;3,5;2,0;5,0;3,7148000000000003;3,7148000000000003
2022-07-26;7,1884;2022;112,0;;;3,5;2,0;5,0;3,6883999999999997;3,6883999999999997
2022-07-27;7,1789;2022;113,0;;;3,5;2,0;5,0;3,6788999999999996;3,6788999999999996
2022-07-28;7,1772;2022;115,0;;;3,5;2,0;5,0;3,6772;3,6772
2022-07-29;7,1137;2022;107,0;;;3,5;2,0;5,0;3,6136999999999997;3,6136999999999997
2022-08-01;7,1064;2022;102,0;;;3,5;2,0;5,0;3,6064;3,6064
2022-08-02;7,1064;2022;98,0;;;3,5;2,0;5,0;3,6064;3,6064
2022-08-03;7,1244;2022;98,0;;;3,5;2,0;5,0;3,6243999999999996;3,6243999999999996
2022-08-04;7,1219;2022;94,0;;;3,5;2,0;5,0;3,6219;3,6219
2022-08-05;7,1032;2022;49,0;;;3,5;2,0;5,0;3,6032;3,6032
2022-08-08;7,0826;2022;52,0;;;3,5;2,0;5,0;3,5826000000000002;3,5826000000000002
2022-08-09;7,0168;2022;55,0;;;3,5;2,0;5,0;3,5168;3,5168
2022-08-10;6,9858;2022;59,0;;;3,5;2,0;5,0;3,4858000000000002;3,4858000000000002
2022-08-11;6,9753;2022;65,0;;;3,5;2,0;5,0;3,4753;3,4753
2022-08-12;6,9535;2022;69,0;;;3,5;2,0;5,0;3,4535;3,4535
2022-08-15;6,9228;2022;73,0;;;3,5;2,0;5,0;3,4227999999999996;3,4227999999999996
2022-08-16;6,9117;2022;69,0;;;3,5;2,0;5,0;3,4116999999999997;3,4116999999999997
2022-08-17;6,9117;2022;67,0;;;3,5;2,0;5,0;3,4116999999999997;3,4116999999999997
2022-08-18;6,8472;2022;63,0;;;3,5;2,0;5,0;3,3472;3,3472
2022-08-19;6,6874;2022;95,0;;;3,5;2,0;5,0;3,1874000000000002;3,1874000000000002
2022-08-22;6,6984;2022;97,0;;;3,5;2,0;5,0;3,1984000000000004;3,1984000000000004
2022-08-23;6,6984;2022;97,0;;;3,5;2,0;5,0;3,1984000000000004;3,1984000000000004
2022-08-24;6,6863;2022;100,0;;;3,5;2,0;5,0;3,1863;3,1863
2022-08-25;6,6327;2022;105,0;;;3,5;2,0;5,0;3,1327;3,1327
2022-08-26;6,6123;2022;59,0;;;3,5;2,0;5,0;3,1123000000000003;3,1123000000000003
2022-08-29;6,5733;2022;64,0;;;3,5;2,0;5,0;3,0732999999999997;3,0732999999999997
2022-08-30;6,5536;2022;64,0;;;3,5;2,0;5,0;3,0536000000000003;3,0536000000000003
2022-08-31;6,5598;2022;61,0;;;3,5;2,0;5,0;3,0598;3,0598
2022-09-01;6,5272;2022;58,0;;;3,5;2,0;5,0;3,0271999999999997;3,0271999999999997
2022-09-02;6,2726;2022;56,0;;;3,5;2,0;5,0;2,7725999999999997;2,7725999999999997
2022-09-05;6,2385;2022;59,0;;;3,5;2,0;5,0;2,7385;2,7385
2022-09-06;6,1554;2022;63,0;;;3,5;2,0;5,0;2,6554;2,6554
2022-09-08;6,1458;2022;65,0;;;3,5;2,0;5,0;2,6458000000000004;2,6458000000000004
2022-09-09;6,0609;2022;77,0;;;3,5;2,0;5,0;2,5609;2,5609
2022-09-12;6,0493;2022;81,0;;;3,5;2,0;5,0;2,5492999999999997;2,5492999999999997
2022-09-13;6,0015;2022;78,0;;;3,5;2,0;5,0;2,5015;2,5015
2022-09-14;6,003;2022;77,0;;;3,5;2,0;5,0;2,503;2,503
2022-09-15;5,9811;2022;78,0;;;3,5;2,0;5,0;2,4810999999999996;2,4810999999999996
2022-09-16;5,9282;2022;104,0;;;3,5;2,0;5,0;2,4282000000000004;2,4282000000000004
2022-09-19;5,9182;2022;96,0;;;3,5;2,0;5,0;2,4181999999999997;2,4181999999999997
2022-09-20;5,9145;2022;93,0;;;3,5;2,0;5,0;2,4145000000000003;2,4145000000000003
2022-09-21;5,9123;2022;93,0;;;3,5;2,0;5,0;2,4123;2,4123
2022-09-22;5,8964;2022;92,0;;;3,5;2,0;5,0;2,3964;2,3964
2022-09-23;5,7744;2022;88,0;;;3,5;2,0;5,0;2,2744;2,2744
2022-09-26;5,7596;2022;92,0;;;3,5;2,0;5,0;2,2596;2,2596
