survey_date,tri_ref,ano_ref,pib_focus_trim_med_pct,numeroRespondentes
2019-01-22,1,2020,3.0,26
2019-01-23,1,2019,2.15,48
2019-01-23,2,2019,2.5,47
2019-01-23,3,2019,2.7,45
2019-01-23,4,2019,2.85,43
2019-01-23,1,2020,3.0,26
2019-01-24,1,2019,2.15,48
2019-01-24,2,2019,2.5,47
2019-01-24,3,2019,2.7,45
2019-01-24,4,2019,2.85,43
2019-01-24,1,2020,3.0,26
2019-01-25,1,2019,2.1,49
2019-01-25,2,2019,2.45,48
2019-01-25,3,2019,2.7,46
2019-01-25,4,2019,2.82,44
2019-01-25,1,2020,3.0,26
2019-01-28,1,2019,2.1,47
2019-01-28,2,2019,2.5,47
2019-01-28,3,2019,2.7,45
2019-01-28,4,2019,2.85,43
2019-01-28,1,2020,3.0,25
2019-01-29,1,2019,2.15,48
2019-01-29,2,2019,2.5,48
2019-01-29,3,2019,2.7,46
2019-01-29,4,2019,2.89,44
2019-01-29,1,2020,3.0,25
2019-01-30,1,2019,2.15,48
2019-01-30,2,2019,2.5,48
2019-01-30,3,2019,2.7,46
2019-01-30,4,2019,2.89,44
2019-01-30,1,2020,3.0,25
2019-01-31,1,2019,2.15,50
2019-01-31,2,2019,2.5,50
2019-01-31,3,2019,2.7,48
2019-01-31,4,2019,2.82,46
2019-01-31,1,2020,3.0,27
2019-02-01,1,2019,2.1,50
2019-02-01,2,2019,2.5,50
2019-02-01,3,2019,2.7,48
2019-02-01,4,2019,2.82,46
2019-02-01,1,2020,3.0,26
2019-02-04,1,2019,2.1,50
2019-02-04,2,2019,2.5,50
2019-02-04,3,2019,2.7,48
2019-02-04,4,2019,2.82,46
2019-02-04,1,2020,3.0,26
2019-02-05,1,2019,2.1,50
2019-02-05,2,2019,2.5,50
2019-02-05,3,2019,2.7,48
2019-02-05,4,2019,2.82,46
2019-02-05,1,2020,3.0,26
2019-02-06,1,2019,2.1,50
2019-02-06,2,2019,2.5,50
2019-02-06,3,2019,2.7,48
2019-02-06,4,2019,2.82,46
2019-02-06,1,2020,3.0,26
2019-02-07,1,2019,2.1,50
2019-02-07,2,2019,2.5,50
2019-02-07,3,2019,2.7,48
2019-02-07,4,2019,2.82,46
2019-02-07,1,2020,3.0,26
2019-02-08,1,2019,2.1,49
2019-02-08,2,2019,2.5,49
2019-02-08,3,2019,2.7,47
2019-02-08,4,2019,2.85,45
2019-02-08,1,2020,3.0,27
2019-02-11,1,2019,2.1,49
2019-02-11,2,2019,2.47,49
2019-02-11,3,2019,2.7,47
2019-02-11,4,2019,2.82,44
2019-02-11,1,2020,2.98,26
2019-02-12,1,2019,2.13,50
2019-02-12,2,2019,2.48,50
2019-02-12,3,2019,2.7,48
2019-02-12,4,2019,2.85,45
2019-02-12,1,2020,3.0,27
2019-02-13,1,2019,2.1,50
2019-02-13,2,2019,2.43,50
2019-02-13,3,2019,2.7,48
2019-02-13,4,2019,3.0,45
2019-02-13,1,2020,3.0,28
2019-02-14,1,2019,2.05,48
2019-02-14,2,2019,2.43,48
2019-02-14,3,2019,2.7,46
2019-02-14,4,2019,2.85,43
2019-02-14,1,2020,3.0,28
2019-02-15,1,2019,2.04,50
2019-02-15,2,2019,2.47,50
2019-02-15,3,2019,2.7,48
2019-02-15,4,2019,2.8,45
2019-02-15,1,2020,3.0,29
2019-02-18,1,2019,2.0,47
2019-02-18,2,2019,2.47,47
2019-02-18,3,2019,2.61,46
2019-02-18,4,2019,2.8,44
2019-02-18,1,2020,3.0,28
2019-02-19,1,2019,2.0,48
2019-02-19,2,2019,2.42,48
2019-02-19,3,2019,2.6,47
2019-02-19,4,2019,2.8,44
2019-02-19,1,2020,3.0,27
2019-02-20,1,2019,2.0,48
2019-02-20,2,2019,2.39,48
2019-02-20,3,2019,2.6,47
2019-02-20,4,2019,2.8,44
2019-02-20,1,2020,3.0,27
2019-02-21,1,2019,2.0,48
2019-02-21,2,2019,2.39,48
2019-02-21,3,2019,2.6,47
2019-02-21,4,2019,2.8,44
2019-02-21,1,2020,3.0,27
2019-02-22,1,2019,1.97,48
2019-02-22,2,2019,2.36,48
2019-02-22,3,2019,2.6,47
2019-02-22,4,2019,2.8,44
2019-02-22,1,2020,3.0,27
2019-02-25,1,2019,2.0,47
2019-02-25,2,2019,2.37,47
2019-02-25,3,2019,2.61,46
2019-02-25,4,2019,2.8,43
2019-02-25,1,2020,3.0,27
2019-02-26,1,2019,2.0,47
2019-02-26,2,2019,2.37,47
2019-02-26,3,2019,2.61,46
2019-02-26,4,2019,2.8,43
2019-02-26,1,2020,3.0,27
2019-02-27,1,2019,1.97,48
2019-02-27,2,2019,2.36,48
2019-02-27,3,2019,2.61,47
2019-02-27,4,2019,2.82,44
2019-02-27,1,2020,3.0,27
2019-02-28,1,2019,1.85,47
2019-02-28,2,2019,2.33,47
2019-02-28,3,2019,2.6,47
2019-02-28,4,2019,2.8,43
2019-02-28,1,2020,2.98,26
2019-02-28,2,2020,2.67,2
2019-03-01,1,2019,1.8,49
2019-03-01,2,2019,2.24,49
2019-03-01,3,2019,2.5,49
2019-03-01,4,2019,2.8,45
2019-03-01,1,2020,2.94,25
2019-03-01,2,2020,2.92,8
2019-03-06,1,2019,1.71,49
2019-03-06,2,2019,2.2,49
2019-03-06,3,2019,2.5,49
2019-03-06,4,2019,2.8,45
2019-03-06,1,2020,2.92,26
2019-03-06,2,2020,2.74,11
2019-03-07,1,2019,1.7,51
2019-03-07,2,2019,2.1,51
2019-03-07,3,2019,2.5,51
2019-03-07,4,2019,2.8,47
2019-03-07,1,2020,2.92,28
2019-03-07,2,2020,2.7,15
2019-03-08,1,2019,1.68,53
2019-03-08,2,2019,2.1,53
2019-03-08,3,2019,2.5,53
2019-03-08,4,2019,2.8,49
2019-03-08,1,2020,2.94,29
2019-03-08,2,2020,2.7,17
2019-03-11,1,2019,1.68,53
2019-03-11,2,2019,2.1,53
2019-03-11,3,2019,2.5,53
2019-03-11,4,2019,2.8,49
2019-03-11,1,2020,2.94,29
2019-03-11,2,2020,2.7,17
2019-03-12,1,2019,1.5,53
2019-03-12,2,2019,2.04,53
2019-03-12,3,2019,2.4,53
2019-03-12,4,2019,2.8,49
2019-03-12,1,2020,2.94,29
2019-03-12,2,2020,2.72,18
2019-03-13,1,2019,1.5,53
2019-03-13,2,2019,2.04,53
2019-03-13,3,2019,2.4,53
2019-03-13,4,2019,2.8,49
2019-03-13,1,2020,2.94,29
2019-03-13,2,2020,2.72,18
2019-03-14,1,2019,1.5,52
2019-03-14,2,2019,2.02,52
2019-03-14,3,2019,2.4,52
2019-03-14,4,2019,2.82,48
2019-03-14,1,2020,2.94,29
2019-03-14,2,2020,2.72,18
2019-03-15,1,2019,1.3,53
2019-03-15,2,2019,2.0,53
2019-03-15,3,2019,2.3,53
2019-03-15,4,2019,2.8,49
2019-03-15,1,2020,2.9,29
2019-03-15,2,2020,2.74,21
2019-03-18,1,2019,1.29,50
2019-03-18,2,2019,1.95,50
2019-03-18,3,2019,2.22,50
2019-03-18,4,2019,2.8,46
2019-03-18,1,2020,2.9,27
2019-03-18,2,2020,2.74,21
